"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2010,1,48,1,0,6,3,18000,61000
2010,2,48,1,0,6,1,43000,61000
2010,2,30,1,0,11,1,32000,44000
2010,1,28,1,0,11,1,12000,44000
2010,2,27,3,0,6,3,3800,3800
2010,1,7,3,0,1,0,NA,3800
2010,1,57,1,0,6,2,8000,8000
2010,2,57,3,0,10,1,44000,44000
2010,2,34,3,0,11,1,92000,44000
2010,1,82,3,0,6,3,5100,44000
2010,2,57,3,0,6,1,29000,44000
2010,1,18,1,0,6,3,2000,NA
2010,2,18,1,0,6,3,0,NA
2010,1,49,1,0,4,3,4500,NA
2010,2,33,1,0,10,1,82000,82000
2010,2,49,2,0,7,3,9360,9360
2010,2,62,3,0,6,3,27100,27100
2010,1,31,1,1,10,1,60000,60000
2010,2,57,1,0,6,1,26000,26000
2010,2,49,1,0,11,1,68640,68640
2010,1,44,1,0,8,1,80000,194000
2010,2,41,3,0,7,1,114000,194000
2010,2,47,1,0,11,1,35000,35000
2010,1,21,1,0,7,3,3500,3500
2010,1,21,1,0,7,1,11000,11000
2010,2,33,1,0,10,1,50000,83900
2010,1,42,1,0,7,1,33900,83900
2010,1,1,1,0,0,0,NA,83900
2010,1,25,1,0,10,1,60000,60000
2010,1,39,1,0,10,1,1e+05,120000
2010,2,33,1,4,7,3,0,120000
2010,2,7,1,4,1,0,NA,120000
2010,1,5,1,4,1,0,NA,120000
2010,1,65,1,4,10,1,20000,120000
2010,1,27,3,0,11,3,12000,12000
2010,1,19,1,0,6,3,2500,NA
2010,1,59,1,0,10,1,54000,129000
2010,2,59,1,0,11,1,75000,129000
2010,1,74,1,0,11,3,178600,187500
2010,2,73,1,0,10,3,8900,187500
2010,2,61,1,0,10,1,65000,65000
2010,2,36,2,0,2,3,800,800
2010,2,25,1,0,6,3,2400,2400
2010,1,52,1,0,8,1,40000,40000
2010,2,53,1,0,8,1,40000,40000
2010,1,44,1,0,10,1,38000,38000
2010,2,63,1,0,10,3,48900,48900
2010,1,55,1,0,10,1,77300,163300
2010,2,58,1,0,10,1,86000,163300
2010,2,16,1,0,2,3,0,NA
2010,2,39,3,0,10,1,65000,65000
2010,2,23,2,0,5,3,6000,6000
2010,2,2,2,0,0,0,NA,6000
2010,1,0,2,0,0,0,NA,6000
2010,1,63,3,0,7,3,14300,NA
2010,2,26,1,0,11,1,11400,11400
2010,1,28,1,0,7,1,30200,30200
2010,1,34,1,0,11,1,80000,80000
2010,2,87,3,0,0,3,8900,8900
2010,1,51,3,0,6,1,7000,19500
2010,2,51,3,0,0,2,12500,19500
2010,1,6,3,0,1,0,NA,19500
2010,1,54,1,0,8,3,18000,18000
2010,2,34,1,0,10,1,93500,93500
2010,1,54,1,0,10,1,2e+05,2e+05
2010,2,48,1,0,11,1,28500,80500
2010,1,48,1,0,11,1,52000,80500
2010,1,14,1,0,2,0,NA,80500
2010,2,22,1,0,6,1,3000,3000
2010,1,37,1,0,10,1,11200,53400
2010,2,37,1,0,10,2,42200,53400
2010,2,2,1,0,0,0,NA,53400
2010,1,28,1,0,10,1,20000,20000
2010,2,89,1,0,6,3,19700,19700
2010,2,50,2,0,7,1,12100,13300
2010,1,22,2,0,6,2,1200,13300
2010,1,43,3,0,0,3,8100,12100
2010,1,19,3,0,6,3,1000,12100
2010,2,17,3,0,5,1,2000,12100
2010,1,16,3,0,4,1,1000,12100
2010,2,14,3,0,2,0,NA,12100
2010,2,13,3,0,2,0,NA,12100
2010,1,12,3,0,2,0,NA,12100
2010,1,11,3,0,1,0,NA,12100
2010,1,7,3,0,1,0,NA,12100
2010,1,6,3,0,1,0,NA,12100
2010,1,61,1,0,11,1,146000,508000
2010,2,60,1,0,11,1,362000,508000
2010,1,49,2,0,6,1,40000,64200
2010,2,34,2,0,6,1,24200,64200
2010,2,46,1,0,11,3,0,217000
2010,1,42,1,0,10,1,217000,217000
2010,2,10,1,0,1,0,NA,217000
2010,1,9,1,0,1,0,NA,217000
2010,2,7,1,0,1,0,NA,217000
2010,1,4,1,0,1,0,NA,217000
2010,1,52,1,0,11,1,362000,362000
2010,1,61,1,0,6,1,19000,32200
2010,2,52,3,0,6,2,13200,32200
2010,2,51,1,0,6,3,8100,58100
2010,1,54,1,1,6,1,40000,58100
2010,1,25,1,1,6,3,0,58100
2010,2,20,1,1,6,1,10000,58100
2010,1,1,1,1,0,0,NA,58100
2010,2,29,2,0,8,1,10000,NA
2010,2,75,2,0,6,3,8500,8500
2010,1,20,1,0,7,3,6000,NA
2010,2,94,1,0,6,3,38800,38800
2010,1,59,2,0,6,1,68000,68000
2010,2,19,1,0,7,3,5600,NA
2010,2,47,1,0,10,1,66610,66610
2010,2,72,1,0,7,3,6004,NA
2010,2,79,1,0,6,3,10500,10500
2010,2,40,1,1,6,1,14000,14000
2010,1,16,1,1,4,3,0,14000
2010,2,61,1,0,11,1,108000,108000
2010,2,54,1,0,10,1,54000,54000
2010,2,29,1,0,10,1,34770,34770
2010,1,62,1,0,2,1,40000,78000
2010,2,62,1,0,6,1,38000,78000
2010,1,56,2,0,6,3,0,0
2010,1,24,1,0,10,1,24000,24000
2010,2,38,2,0,7,1,15140,15140
2010,1,11,2,0,2,0,NA,15140
2010,2,22,3,0,7,1,9000,9000
2010,1,36,1,4,0,1,10000,9000
2010,2,55,1,0,8,1,52000,52000
2010,2,94,1,0,6,3,9000,NA
2010,1,42,3,0,10,1,87000,180000
2010,2,44,1,0,10,1,93000,180000
2010,1,25,1,0,10,1,36000,36000
2010,1,65,1,0,8,1,89100,125300
2010,2,62,1,0,7,1,36200,125300
2010,2,28,2,0,7,1,19800,19800
2010,1,5,2,0,1,0,NA,19800
2010,2,4,2,2,1,0,NA,19800
2010,1,1,2,0,0,0,NA,19800
2010,1,30,3,2,7,1,30000,19800
2010,2,28,1,0,8,1,37000,37000
2010,1,27,2,0,8,1,32600,32600
2010,1,37,3,0,7,1,35000,35000
2010,1,16,3,0,5,3,0,35000
2010,1,14,3,0,3,0,NA,35000
2010,1,14,3,0,2,0,NA,35000
2010,2,28,3,0,7,2,4700,4700
2010,2,11,3,0,2,0,NA,4700
2010,1,9,3,0,1,0,NA,4700
2010,2,4,3,0,0,0,NA,4700
2010,2,65,2,0,0,3,14200,14200
2010,1,30,1,0,11,1,47900,47900
2010,2,64,1,0,11,1,58160,58160
2010,2,38,1,0,7,1,43000,203000
2010,1,38,1,0,10,1,160000,203000
2010,2,2,1,0,0,0,NA,203000
2010,1,27,1,0,10,1,35000,35000
2010,2,80,3,0,5,3,16100,16100
2010,1,54,1,0,10,1,75200,106200
2010,2,37,3,0,6,1,31000,106200
2010,2,6,3,0,1,0,NA,106200
2010,2,4,3,0,1,0,NA,106200
2010,2,16,3,0,6,3,0,106200
2010,2,20,1,0,7,1,5000,NA
2010,1,23,1,0,6,1,15000,15000
2010,2,25,1,0,10,1,46000,46000
2010,1,22,1,0,10,1,9000,9000
2010,2,18,1,0,7,3,3000,NA
2010,2,83,1,0,6,3,32000,32000
2010,2,42,3,0,8,1,60230,140234
2010,1,59,1,0,6,1,80004,140234
2010,1,0,3,0,0,0,NA,140234
2010,2,56,1,0,7,3,10400,10400
2010,2,60,1,0,7,1,14800,15140
2010,1,58,1,0,6,3,340,15140
2010,1,33,1,0,10,1,142200,172200
2010,2,33,1,0,10,1,30000,172200
2010,1,4,1,0,0,0,NA,172200
2010,1,2,1,0,0,0,NA,172200
2010,1,29,1,1,0,1,35000,35000
2010,2,35,1,1,0,3,0,35000
2010,2,7,1,1,1,0,NA,35000
2010,1,5,1,1,1,0,NA,35000
2010,1,0,1,1,0,0,NA,35000
2010,1,18,1,1,6,3,0,35000
2010,1,48,1,0,11,1,40000,40000
2010,1,44,1,0,10,1,27000,56300
2010,1,30,1,0,10,1,29300,56300
2010,2,32,1,0,10,3,18700,43800
2010,1,33,1,0,10,1,25100,43800
2010,1,2,1,0,0,0,NA,43800
2010,1,1,1,0,0,0,NA,43800
2010,1,88,1,0,5,3,23100,29200
2010,2,86,1,0,5,3,6100,29200
2010,1,39,1,0,11,1,98000,98000
2010,1,38,1,0,7,1,83100,98000
2010,2,67,1,0,6,1,56300,88600
2010,2,45,1,0,7,1,32300,88600
2010,2,30,1,0,11,1,62000,75100
2010,1,37,1,0,11,1,13100,75100
2010,1,0,1,0,0,0,NA,75100
2010,2,29,1,0,4,1,13000,13000
2010,1,11,1,0,2,0,NA,13000
2010,2,59,1,0,6,1,7000,10600
2010,1,63,3,0,6,3,3600,10600
2010,2,22,1,0,7,2,500,500
2010,2,25,1,0,10,1,32000,32000
2010,2,21,1,0,7,3,0,0
2010,1,70,1,0,8,1,65400,71000
2010,2,68,1,0,6,3,5600,71000
2010,1,90,1,0,6,3,186500,186500
2010,1,34,3,1,5,3,14000,NA
2010,2,34,1,0,10,1,80000,80000
2010,1,38,1,0,10,1,56400,80400
2010,2,30,1,0,10,1,24000,80400
2010,1,24,3,4,5,3,33000,NA
2010,2,54,3,0,11,1,71300,71300
2010,1,49,1,0,7,3,17600,NA
2010,2,41,1,0,10,3,0,362000
2010,1,42,1,0,11,1,362000,362000
2010,1,9,1,0,1,0,NA,362000
2010,1,5,1,0,1,0,NA,362000
2010,2,19,1,0,6,3,5000,NA
2010,2,79,1,0,6,3,49200,49200
2010,1,90,1,0,2,3,32100,32100
2010,1,49,1,0,11,1,104000,248000
