"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2019,1,37,2,0,6,2,290,NA
2019,1,62,2,0,6,3,11400,NA
2019,1,63,1,0,6,3,420,NA
2019,2,19,1,0,6,2,5500,NA
2019,1,52,3,0,6,2,1200,NA
2019,1,22,1,0,7,1,3500,NA
2019,2,19,3,0,6,1,3000,NA
2019,1,0,2,0,0,0,NA,NA
2019,2,0,1,0,0,0,NA,NA
2019,1,61,1,0,2,1,4000,NA
2019,2,19,1,0,6,3,900,NA
2019,2,15,1,0,3,0,9300,NA
2019,2,72,1,0,10,3,13000,NA
2019,2,10,3,0,1,0,NA,NA
2019,2,30,1,4,5,3,5400,NA
2019,1,17,1,0,6,3,6800,NA
2019,1,38,1,0,7,3,310,NA
2019,2,18,1,0,6,1,3000,NA
2019,1,53,1,0,6,3,1200,NA
2019,1,58,1,0,6,1,2500,NA
2019,2,83,1,0,6,3,12700,NA
2019,1,66,1,0,11,1,67000,NA
2019,1,57,2,0,4,3,2400,NA
2019,1,18,1,1,6,1,3000,NA
2019,1,13,1,0,2,0,NA,NA
2019,1,19,3,0,6,3,15200,NA
2019,2,95,1,0,7,3,23000,NA
2019,2,19,3,0,6,1,9000,NA
2019,2,26,1,1,10,3,3000,NA
2019,1,69,1,0,7,3,15600,NA
2019,1,37,2,0,6,2,290,NA
2019,1,40,2,0,4,3,0,NA
2019,1,62,2,0,6,3,11400,NA
2019,2,19,1,0,6,1,10500,NA
2019,2,19,1,0,6,3,900,NA
2019,1,24,3,0,6,3,9990,NA
2019,1,65,1,0,10,3,12000,NA
2019,1,36,1,0,7,3,620,NA
2019,1,43,3,0,8,3,1970,NA
2019,1,74,1,0,8,3,12000,NA
2019,1,20,1,0,7,1,15000,NA
2019,1,28,2,0,6,3,1100,NA
2019,2,95,1,0,10,3,48000,NA
2019,2,53,1,0,6,3,16400,NA
2019,1,18,1,0,6,3,1500,NA
2019,1,43,3,0,8,3,1970,NA
2019,1,19,3,0,6,1,3400,NA
2019,2,19,3,0,6,3,1000,NA
2019,2,18,1,0,6,3,2000,NA
2019,1,20,1,4,7,3,0,NA
2019,2,22,2,0,7,1,8500,NA
2019,1,58,2,0,6,1,18000,NA
2019,2,21,1,3,5,3,900,NA
2019,1,28,2,0,6,3,1100,NA
2019,1,2,3,0,0,0,NA,NA
2019,1,39,1,0,10,2,1400,NA
2019,1,72,1,0,10,3,15200,NA
2019,2,19,3,0,6,1,3000,NA
2019,1,89,1,0,11,3,0,NA
2019,1,19,1,0,7,1,6000,NA
2019,2,18,1,0,6,1,3300,NA
2019,2,18,1,0,6,3,3200,NA
2019,2,55,1,0,6,3,8800,NA
2019,1,57,2,0,7,3,18000,NA
2019,1,18,3,0,6,3,0,NA
2019,2,19,3,0,6,1,9000,NA
2019,2,20,1,0,7,2,3000,NA
2019,1,25,1,0,7,3,8300,NA
2019,2,19,1,0,7,2,500,NA
2019,2,0,2,0,0,0,NA,NA
2019,2,17,3,0,6,3,0,NA
2019,1,33,1,0,6,2,1200,NA
2019,2,73,1,0,8,3,30030,NA
2019,1,32,2,0,5,3,40700,NA
2019,1,61,1,0,2,1,4000,NA
2019,1,32,1,0,5,3,310,NA
2019,1,40,1,0,5,2,2400,NA
2019,1,67,1,0,7,3,18600,NA
2019,1,89,1,0,11,3,0,NA
2019,1,20,1,0,7,1,8000,NA
2019,2,19,1,0,6,3,450,NA
2019,1,32,1,0,5,3,310,NA
2019,2,19,1,0,6,3,0,NA
2019,2,40,1,0,5,2,7500,NA
2019,1,84,1,0,10,3,15200,NA
2019,1,20,1,4,7,3,0,NA
2019,2,20,2,0,6,1,3000,NA
2019,2,19,1,0,6,1,10500,NA
2019,1,0,2,0,0,0,NA,NA
2019,1,3,3,1,0,0,NA,NA
2019,1,51,2,4,6,1,14000,NA
2019,2,50,3,0,6,3,1200,NA
2019,1,18,1,0,6,3,1000,NA
2019,2,48,2,0,6,3,16400,NA
2019,1,18,1,0,6,1,4300,NA
2019,1,53,3,0,10,2,1200,NA
2019,2,10,3,0,1,0,NA,NA
2019,1,34,2,0,7,3,5160,NA
2019,2,18,1,0,6,3,4000,NA
2019,1,18,1,0,6,3,2000,NA
2019,2,66,1,0,7,3,53400,NA
2019,1,18,1,0,6,3,3000,NA
2019,1,57,2,0,4,3,2400,NA
2019,2,4,2,0,0,0,NA,NA
2019,2,18,1,0,6,1,1600,NA
2019,2,18,1,0,6,3,0,NA
2019,2,18,1,0,7,3,1000,NA
2019,1,19,1,0,6,3,2400,NA
2019,1,18,3,0,6,3,0,NA
2019,2,18,1,0,6,1,6300,NA
2019,1,15,2,0,2,0,9300,NA
2019,1,37,2,0,7,3,880,NA
2019,1,12,2,0,2,0,NA,NA
2019,1,43,3,0,8,3,1970,NA
2019,2,52,1,0,4,3,10600,NA
2019,1,19,3,0,6,3,4800,NA
2019,1,18,1,0,6,3,1600,NA
2019,2,30,3,0,6,3,1200,NA
2019,1,33,1,0,6,2,1200,NA
2019,1,19,3,0,6,3,0,NA
2019,1,51,2,4,6,1,14000,NA
2019,1,18,1,0,6,3,4600,NA
2019,1,23,2,0,3,3,23400,NA
2019,2,30,1,0,10,3,2400,NA
2019,2,10,2,0,1,0,NA,NA
2019,1,18,1,0,6,2,4100,NA
2019,2,18,1,0,6,1,3700,NA
2019,2,17,3,0,4,3,0,NA
2019,1,31,1,0,10,3,14000,NA
2019,1,35,2,0,8,2,9000,NA
2019,1,45,1,0,7,3,2900,NA
2019,1,18,3,1,7,1,500,NA
2019,1,20,1,0,7,1,3000,NA
2019,2,18,1,0,6,1,1600,NA
2019,2,20,1,2,6,3,0,NA
2019,1,18,1,0,6,3,0,NA
2019,2,24,2,0,6,2,9000,NA
2019,2,19,3,0,6,1,9000,NA
2019,1,3,2,0,1,0,NA,NA
2019,1,21,1,0,7,3,15000,NA
2019,1,25,1,0,7,3,920,NA
